epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.06605,1.74069,3.81242,2.0135,0.00297,0.75,0.03065,0.01488,1.75107,3.78342,2.02304,1.111e-05,1.111e-05,1.111e-05
2,10.4844,1.61505,3.7479,1.84295,0.00323,0.75,0.03145,0.01391,1.78544,3.77168,2.03838,3.26701e-05,3.26701e-05,3.26701e-05
3,11.6162,1.58536,3.65624,1.89163,0.00357,0.75,0.03054,0.01405,1.82237,3.73505,2.05858,5.33502e-05,5.33502e-05,5.33502e-05
4,12.7943,1.72322,3.55901,1.98787,0.00417,0.75,0.12048,0.07247,1.63814,3.73935,1.93109,7.31505e-05,7.31505e-05,7.31505e-05
5,14.08,1.4151,3.5865,1.67848,0.00456,0.75,0.24479,0.15078,1.40648,3.64396,1.75003,9.20708e-05,9.20708e-05,9.20708e-05
6,15.5324,1.05912,3.40749,1.54063,0.00619,0.75,0.21934,0.14828,1.19624,3.57381,1.552,0.000110111,0.000110111,0.000110111
7,17.6217,1.14092,3.34261,1.55898,0.0067,0.75,0.21185,0.1454,1.20268,3.51992,1.53108,0.000127272,0.000127272,0.000127272
8,19.5613,1.12278,3.19878,1.5378,0.00889,1,0.29853,0.20673,1.20595,3.54844,1.6636,0.000143552,0.000143552,0.000143552
9,21.4904,1.14778,2.98854,1.48577,0.0081,1,0.37445,0.21112,1.26628,3.55274,1.74999,0.000158953,0.000158953,0.000158953
10,23.4225,1.17765,3.04351,1.52611,0.00757,1,0.37602,0.16275,1.32108,3.54238,1.76216,0.000173474,0.000173474,0.000173474
11,24.6746,1.16931,2.85054,1.46106,0.00692,1,0.41033,0.18711,1.222,3.54976,1.7312,0.000187115,0.000187115,0.000187115
12,25.884,0.96546,2.67562,1.39273,0.00629,1,0.40313,0.22873,1.12292,3.52995,1.71031,0.000199876,0.000199876,0.000199876
13,27.2753,0.99357,2.62316,1.45432,0.00618,1,0.41193,0.26064,1.16733,3.47022,1.7084,0.000211757,0.000211757,0.000211757
14,28.5122,1.01832,2.59888,1.50496,0.00614,1,0.39567,0.26297,1.17873,3.45116,1.74016,0.000222758,0.000222758,0.000222758
15,29.7854,1.20216,2.59875,1.5803,0.00642,1,0.40908,0.28493,1.25016,3.38287,1.73548,0.000232879,0.000232879,0.000232879
16,31.0265,1.0294,2.26009,1.45434,0.00684,1,0.49028,0.31328,1.20181,3.35296,1.70123,0.00024212,0.00024212,0.00024212
17,32.2571,1.06178,2.27556,1.43256,0.00729,1,0.56206,0.34597,1.18677,3.29273,1.7069,0.000250482,0.000250482,0.000250482
18,33.8097,1.08937,2.21452,1.44566,0.00735,1,0.68133,0.39652,1.21116,3.19255,1.70775,0.000257963,0.000257963,0.000257963
19,35.5306,1.0515,2.06401,1.46259,0.0075,1,0.70572,0.41185,1.09326,3.14685,1.68766,0.000264565,0.000264565,0.000264565
20,37.4359,1.03631,2.09143,1.32762,0.00776,1,0.60218,0.34019,1.13576,3.08003,1.68853,0.000270286,0.000270286,0.000270286
21,39.4213,1.08616,2.10242,1.49023,0.00796,1,0.62628,0.34552,1.14758,3.07007,1.66999,0.000275128,0.000275128,0.000275128
22,41.2544,1.04228,1.95746,1.37426,0.00797,1,0.55399,0.33182,1.16084,3.08448,1.63493,0.00027909,0.00027909,0.00027909
23,42.67,0.9171,1.80857,1.26078,0.00821,1,0.46548,0.28598,1.14549,3.15956,1.58935,0.000282172,0.000282172,0.000282172
24,43.9916,0.88307,1.74997,1.32925,0.0085,1,0.49887,0.28285,1.18464,3.14797,1.6065,0.000284374,0.000284374,0.000284374
25,45.1567,0.93682,1.75016,1.28319,0.00883,1,0.46211,0.29502,1.2087,3.11777,1.6183,0.000285696,0.000285696,0.000285696
26,46.3574,0.94469,1.7894,1.3389,0.84079,0.06053,0.48359,0.29972,1.25582,3.05364,1.62491,0.000286138,0.000286138,0.000286138
27,47.6394,0.92115,1.77328,1.34489,0.86456,0.07638,0.50245,0.28761,1.30008,2.95604,1.63012,0.0002857,0.0002857,0.0002857
28,48.781,0.90901,1.67462,1.29434,0.86456,0.07638,0.50245,0.28761,1.30008,2.95604,1.63012,0.000284383,0.000284383,0.000284383
29,49.9621,0.89354,1.60007,1.30398,0.87094,0.30576,0.62648,0.3569,1.31855,2.82861,1.69496,0.000282185,0.000282185,0.000282185
30,51.1101,0.84514,1.51347,1.22719,0.84981,0.32963,0.71219,0.39932,1.31598,2.72068,1.74938,0.000279108,0.000279108,0.000279108
31,52.4687,0.93429,1.48438,1.26944,0.84981,0.32963,0.71219,0.39932,1.31598,2.72068,1.74938,0.00027515,0.00027515,0.00027515
32,54.1834,0.77115,1.47461,1.20651,0.76799,0.45602,0.74755,0.40887,1.31025,2.63068,1.81379,0.000270313,0.000270313,0.000270313
33,55.9432,0.99599,1.89014,1.43566,0.73273,0.45687,0.79143,0.47864,1.37471,2.50334,1.8854,0.000264596,0.000264596,0.000264596
34,57.8766,0.83222,1.57243,1.26136,0.73273,0.45687,0.79143,0.47864,1.37471,2.50334,1.8854,0.000257999,0.000257999,0.000257999
35,59.7529,0.81826,1.6711,1.26982,0.72613,0.45338,0.74289,0.48606,1.33802,2.51672,1.80976,0.000250522,0.000250522,0.000250522
36,61.4645,0.92491,1.65955,1.26229,0.64471,0.375,0.78938,0.48387,1.41608,2.53471,1.91232,0.000242165,0.000242165,0.000242165
37,62.7248,0.85371,1.49613,1.23302,0.64471,0.375,0.78938,0.48387,1.41608,2.53471,1.91232,0.000232928,0.000232928,0.000232928
38,63.9706,0.80988,1.36057,1.14781,0.70696,0.45833,0.76167,0.48608,1.39167,2.54925,1.90864,0.000222811,0.000222811,0.000222811
39,65.1797,0.86904,1.57228,1.2379,0.67168,0.45833,0.76393,0.49087,1.34181,2.46791,1.90379,0.000211814,0.000211814,0.000211814
40,66.3577,0.75646,1.43231,1.18634,0.67168,0.45833,0.76393,0.49087,1.34181,2.46791,1.90379,0.000199938,0.000199938,0.000199938
41,69.0186,0.77664,2.00697,1.29411,0.7636,0.42428,0.75025,0.50106,1.32005,2.36853,1.93421,0.000187181,0.000187181,0.000187181
42,70.8269,0.76771,1.96134,1.3259,0.75923,0.4315,0.75025,0.50416,1.27867,2.35457,1.88506,0.000173545,0.000173545,0.000173545
43,72.5264,0.61589,1.7202,1.10793,0.75923,0.4315,0.75025,0.50416,1.27867,2.35457,1.88506,0.000159029,0.000159029,0.000159029
44,74.3385,0.94304,1.97001,1.48418,0.77373,0.44806,0.76963,0.48512,1.31631,2.22625,1.93952,0.000143632,0.000143632,0.000143632
45,76.1492,0.5932,1.73165,1.13389,0.77373,0.44806,0.76963,0.48512,1.31631,2.22625,1.93952,0.000127356,0.000127356,0.000127356
46,77.9733,0.6603,1.83925,1.14399,0.7329,0.65946,0.83763,0.51921,1.36539,2.15703,2.02368,0.0001102,0.0001102,0.0001102
47,79.5172,0.58034,1.55866,1.10027,0.7329,0.65946,0.83763,0.51921,1.36539,2.15703,2.02368,9.21641e-05,9.21641e-05,9.21641e-05
48,80.7967,0.71841,1.83141,1.25642,0.72861,0.81374,0.83659,0.52206,1.40365,2.04212,2.08085,7.32482e-05,7.32482e-05,7.32482e-05
49,81.9622,0.72508,1.79658,1.30261,0.72861,0.81374,0.83659,0.52206,1.40365,2.04212,2.08085,5.34524e-05,5.34524e-05,5.34524e-05
50,83.1785,0.67185,1.71723,1.16035,0.73263,0.84832,0.84484,0.5216,1.4445,1.92213,2.10096,3.27767e-05,3.27767e-05,3.27767e-05
